"GEO_ID","NAME","B25077_001E","B25077_001M"
"id","Geographic Area Name","Estimate!!Median value (dollars)","Margin of Error!!Median value (dollars)"
"0500000US12001","Alachua County, Florida","186700","5041"
"0500000US12003","Baker County, Florida","138900","18951"
"0500000US12005","Bay County, Florida","178400","4713"
"0500000US12007","Bradford County, Florida","110800","7407"
"0500000US12009","Brevard County, Florida","196400","2183"
"0500000US12011","Broward County, Florida","265000","2127"
"0500000US12013","Calhoun County, Florida","85000","8668"
"0500000US12015","Charlotte County, Florida","195400","4224"
"0500000US12017","Citrus County, Florida","131500","3996"
"0500000US12019","Clay County, Florida","185400","3987"
"0500000US12021","Collier County, Florida","360800","5990"
"0500000US12023","Columbia County, Florida","124200","6296"
"0500000US12027","DeSoto County, Florida","87700","3692"
"0500000US12029","Dixie County, Florida","78500","8405"
"0500000US12031","Duval County, Florida","180700","2305"
"0500000US12033","Escambia County, Florida","146200","3497"
"0500000US12035","Flagler County, Florida","217500","3839"
"0500000US12037","Franklin County, Florida","166000","18297"
"0500000US12039","Gadsden County, Florida","96800","8160"
"0500000US12041","Gilchrist County, Florida","104800","8408"
"0500000US12043","Glades County, Florida","76700","16429"
"0500000US12045","Gulf County, Florida","160700","11583"
"0500000US12047","Hamilton County, Florida","80100","12085"
"0500000US12049","Hardee County, Florida","83400","5206"
"0500000US12051","Hendry County, Florida","94500","7020"
"0500000US12053","Hernando County, Florida","142500","2948"
"0500000US12055","Highlands County, Florida","108100","4491"
"0500000US12057","Hillsborough County, Florida","216300","1604"
"0500000US12059","Holmes County, Florida","92700","10641"
"0500000US12061","Indian River County, Florida","202300","6803"
"0500000US12063","Jackson County, Florida","99000","5485"
"0500000US12065","Jefferson County, Florida","133500","20357"
"0500000US12067","Lafayette County, Florida","104700","21016"
"0500000US12069","Lake County, Florida","181400","3483"
"0500000US12071","Lee County, Florida","224800","2131"
"0500000US12073","Leon County, Florida","203100","4367"
"0500000US12075","Levy County, Florida","105700","5248"
"0500000US12077","Liberty County, Florida","75100","14563"
"0500000US12079","Madison County, Florida","89100","12006"
"0500000US12081","Manatee County, Florida","238500","3940"
"0500000US12083","Marion County, Florida","139900","3154"
"0500000US12085","Martin County, Florida","273700","5818"
"0500000US12086","Miami-Dade County, Florida","289600","1640"
"0500000US12087","Monroe County, Florida","494100","13887"
"0500000US12089","Nassau County, Florida","230900","6252"
"0500000US12091","Okaloosa County, Florida","219100","4078"
"0500000US12093","Okeechobee County, Florida","106000","7363"
"0500000US12095","Orange County, Florida","235800","2047"
"0500000US12097","Osceola County, Florida","201000","4001"
"0500000US12099","Palm Beach County, Florida","283600","1868"
"0500000US12101","Pasco County, Florida","162100","1606"
"0500000US12103","Pinellas County, Florida","201200","2302"
"0500000US12105","Polk County, Florida","150800","2046"
"0500000US12107","Putnam County, Florida","89100","4747"
"0500000US12109","St. Johns County, Florida","304700","5964"
"0500000US12111","St. Lucie County, Florida","186900","4241"
"0500000US12113","Santa Rosa County, Florida","199200","5680"
"0500000US12115","Sarasota County, Florida","251600","3244"
"0500000US12117","Seminole County, Florida","242600","2696"
"0500000US12119","Sumter County, Florida","258600","6058"
"0500000US12121","Suwannee County, Florida","101300","11032"
"0500000US12123","Taylor County, Florida","85100","5837"
"0500000US12125","Union County, Florida","118400","13928"
"0500000US12127","Volusia County, Florida","175000","1943"
"0500000US12129","Wakulla County, Florida","144000","9924"
"0500000US12131","Walton County, Florida","229500","10490"
"0500000US12133","Washington County, Florida","113200","6028"
"0500000US13001","Appling County, Georgia","80200","12052"
"0500000US13003","Atkinson County, Georgia","62700","4438"
"0500000US13005","Bacon County, Georgia","81100","7719"
"0500000US13007","Baker County, Georgia","81800","23140"
"0500000US13009","Baldwin County, Georgia","120300","8980"
"0500000US13011","Banks County, Georgia","151100","10604"
"0500000US13013","Barrow County, Georgia","159700","2544"
"0500000US13015","Bartow County, Georgia","163900","3529"
"0500000US13017","Ben Hill County, Georgia","83400","7511"
"0500000US13019","Berrien County, Georgia","88000","8305"
"0500000US13021","Bibb County, Georgia","120200","3679"
"0500000US13023","Bleckley County, Georgia","102300","15809"
"0500000US13025","Brantley County, Georgia","72300","16993"
