metro_code,metro_name,metro_pop,metro_apps,metro_type,variable_name,total_count,loan,denied,is_reliable,reliable_note,odds_ratio
28700,"Kingsport-Bristol, TN-VA",306546.0,1899,Metropolitan Statistical Area,Latino,26.0,22.0,4.0,False,No results,
28700,"Kingsport-Bristol, TN-VA",306546.0,1899,Metropolitan Statistical Area,Native American,12.0,10.0,2.0,False,No results,
28700,"Kingsport-Bristol, TN-VA",306546.0,1899,Metropolitan Statistical Area,AAPI,18.0,16.0,2.0,False,No results,
35460,"Newport, TN",35552.0,92,Micropolitan Statistical Area,Black,0.0,0.0,0.0,False,No results,
35460,"Newport, TN",35552.0,92,Micropolitan Statistical Area,Latino,0.0,0.0,0.0,False,No results,
35460,"Newport, TN",35552.0,92,Micropolitan Statistical Area,Native American,0.0,0.0,0.0,False,No results,
35460,"Newport, TN",35552.0,92,Micropolitan Statistical Area,AAPI,0.0,0.0,0.0,False,No results,
27740,"Johnson City, TN",202049.0,1394,Metropolitan Statistical Area,Black,16.0,14.0,2.0,False,No results,
27740,"Johnson City, TN",202049.0,1394,Metropolitan Statistical Area,Latino,27.0,25.0,2.0,False,No results,
27740,"Johnson City, TN",202049.0,1394,Metropolitan Statistical Area,Native American,9.0,6.0,3.0,False,No results,
27740,"Johnson City, TN",202049.0,1394,Metropolitan Statistical Area,AAPI,23.0,19.0,4.0,False,No results,
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",1871903.0,23209,Metropolitan Statistical Area,Black,998.0,883.0,115.0,True,Statistically significant disparity,1.8
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",1871903.0,23209,Metropolitan Statistical Area,Latino,1080.0,985.0,95.0,False,Not statistically significant,1.0
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",1871903.0,23209,Metropolitan Statistical Area,Native American,56.0,54.0,2.0,False,Not statistically significant,0.5
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",1871903.0,23209,Metropolitan Statistical Area,AAPI,1023.0,924.0,99.0,True,Statistically significant disparity,2.2
16860,"Chattanooga, TN-GA",556209.0,4725,Metropolitan Statistical Area,Black,116.0,106.0,10.0,False,Not statistically significant,0.8
16860,"Chattanooga, TN-GA",556209.0,4725,Metropolitan Statistical Area,Latino,150.0,136.0,14.0,False,Not statistically significant,1.0
16860,"Chattanooga, TN-GA",556209.0,4725,Metropolitan Statistical Area,Native American,11.0,10.0,1.0,False,Not statistically significant,3.0
16860,"Chattanooga, TN-GA",556209.0,4725,Metropolitan Statistical Area,AAPI,139.0,130.0,9.0,False,Not statistically significant,1.5
18900,"Crossville, TN",59216.0,347,Micropolitan Statistical Area,Black,1.0,1.0,0.0,False,No results,
18900,"Crossville, TN",59216.0,347,Micropolitan Statistical Area,Latino,4.0,4.0,0.0,False,No results,
18900,"Crossville, TN",59216.0,347,Micropolitan Statistical Area,Native American,0.0,0.0,0.0,False,No results,
18900,"Crossville, TN",59216.0,347,Micropolitan Statistical Area,AAPI,4.0,3.0,1.0,False,No results,
24620,"Greeneville, TN",68834.0,283,Micropolitan Statistical Area,Black,2.0,2.0,0.0,False,No results,
24620,"Greeneville, TN",68834.0,283,Micropolitan Statistical Area,Latino,3.0,3.0,0.0,False,No results,
24620,"Greeneville, TN",68834.0,283,Micropolitan Statistical Area,Native American,0.0,0.0,0.0,False,No results,
24620,"Greeneville, TN",68834.0,283,Micropolitan Statistical Area,AAPI,1.0,1.0,0.0,False,No results,
